player_id,player_name,player_position,team_id
153,Vanaken                                           ,Midfielder     ,17
154,S. Thill                                          ,Midfielder     ,18
155,Coates                                            ,Defender       ,14
156,Arnold                                            ,Midfielder     ,19
157,Cristiano                                         ,Defender       ,18
158,Zabarnyi                                          ,Defender       ,20
159,Fernando                                          ,Midfielder     ,21
160,Fernando Costanza                                 ,Defender       ,18
161,Dodô                                              ,Defender       ,22
162,Barrios                                           ,Midfielder     ,23
163,Lacroix                                           ,Defender       ,19
164,Hendry                                            ,Defender       ,17
165,Arboleda                                          ,Defender       ,18
166,Dulanto                                           ,Defender       ,18
167,Bounou                                            ,Goalkeeper     ,21
168,Kobel                                             ,Goalkeeper     ,24
169,Mignolet                                          ,Goalkeeper     ,17
170,Musso                                             ,Goalkeeper     ,25
171,Pasveer                                           ,Goalkeeper     ,12
172,Grbić                                             ,Goalkeeper     ,9
173,Diogo Costa                                       ,Goalkeeper     ,26
174,Ter Stegen                                        ,Goalkeeper     ,27
175,Locatelli                                         ,Midfielder     ,15
176,Diego Carlos                                      ,Defender       ,21
177,Mount                                             ,Midfielder     ,8
178,Rabiot                                            ,Midfielder     ,15
179,Sydorchuk                                         ,Midfielder     ,20
180,Maguire                                           ,Defender       ,16
181,João Palhinha                                     ,Midfielder     ,14
182,Tiago Djaló                                       ,Defender       ,9
183,Moumi Ngamaleu                                    ,Midfielder     ,28
184,Perišić                                           ,Midfielder     ,10
185,Nkunku                                            ,Midfielder     ,29
186,Traore                                            ,Midfielder     ,18
187,Burak Yılmaz                                      ,Forward        ,9
188,Pedro Porro                                       ,Defender       ,14
189,Lang                                              ,Forward        ,17
190,Clinton Mata                                      ,Defender       ,17
191,Freuler                                           ,Midfielder     ,25
192,Depay                                             ,Forward        ,27
193,Gerard Moreno                                     ,Forward        ,3
194,Lo Celso                                          ,Midfielder     ,3
195,F. de Jong                                        ,Midfielder     ,27
196,Morata                                            ,Forward        ,15
197,Bruno Fernandes                                   ,Midfielder     ,16
198,Griezmann                                         ,Forward        ,6
199,Sučić                                             ,Midfielder     ,11
200,Süle                                              ,Defender       ,7
201,Yaremchuk                                         ,Forward        ,5
202,Sarabia                                           ,Forward        ,14
203,Matheus Nunes                                     ,Midfielder     ,14
204,James                                             ,Defender       ,8
205,Aebischer                                         ,Midfielder     ,28
206,Bellingham                                        ,Midfielder     ,24
207,Zinchenko                                         ,Defender       ,4
208,De Ketelaere                                      ,Forward        ,17
209,Čolak                                             ,Forward        ,30
210,Reus                                              ,Midfielder     ,24
211,Rakitskyy                                         ,Defender       ,23
212,Barella                                           ,Midfielder     ,10
213,Innocent                                          ,Midfielder     ,30
214,Taremi                                            ,Forward        ,26
215,João Máriot                                       ,Midfielder     ,5
216,Addo                                              ,Midfielder     ,18
217,Tsygankov                                         ,Midfielder     ,20
218,Elia                                              ,Forward        ,28
219,De Vrij                                           ,Defender       ,10
220,Sergio Busquets                                   ,Midfielder     ,27
221,Shaparenko                                        ,Midfielder     ,20
222,Mukiele                                           ,Defender       ,29
223,D.Wendel                                          ,Midfielder     ,23
224,Meunier                                           ,Defender       ,24
225,De Roon                                           ,Midfielder     ,25
226,Nsoki                                             ,Defender       ,17
227,Renan Lodi                                        ,Defender       ,6
228,Davies                                            ,Midfielder     ,7
229,Maycon                                            ,Midfielder     ,22
230,Carrasco                                          ,Forward        ,6
231,Cuadrado                                          ,Midfielder     ,15
232,Felipe                                            ,Defender       ,6
233,Witsel                                            ,Midfielder     ,24
234,Neymar                                            ,Forward        ,13
235,Bamba                                             ,Forward        ,9
236,Dumfries                                          ,Defender       ,10
